date,oil price,war,stock market,Iran,Hormuz,Attention_mean,oil price_diff,war_diff,stock market_diff,Iran_diff,Hormuz_diff
2022-07-06,13.714285714285714,26.571428571428573,14.857142857142858,1.0,0.0,11.228571428571428,0.42857142857142705,0.1428571428571459,-0.2857142857142847,0.0,0.0
2022-07-07,14.142857142857142,26.714285714285715,14.571428571428571,1.0,0.0,11.285714285714286,0.4285714285714288,0.14285714285714235,-0.2857142857142865,0.0,0.0
2022-07-08,14.571428571428571,26.857142857142858,14.285714285714286,1.0,0.0,11.342857142857143,0.4285714285714288,0.14285714285714235,-0.2857142857142847,0.0,0.0
2022-07-09,15.0,27.0,14.0,1.0,0.0,11.4,0.4285714285714288,0.14285714285714235,-0.2857142857142865,0.0,0.0
2022-07-10,14.714285714285714,26.857142857142858,14.142857142857142,1.0,0.0,11.342857142857142,-0.2857142857142865,-0.14285714285714235,0.14285714285714235,0.0,0.0
2022-07-11,14.428571428571429,26.714285714285715,14.285714285714286,1.0,0.0,11.285714285714286,-0.2857142857142847,-0.14285714285714235,0.14285714285714413,0.0,0.0
2022-07-12,14.142857142857142,26.571428571428573,14.428571428571429,1.0,0.0,11.22857142857143,-0.2857142857142865,-0.14285714285714235,0.14285714285714235,0.0,0.0
2022-07-13,13.857142857142858,26.428571428571427,14.571428571428571,1.0,0.0,11.17142857142857,-0.2857142857142847,-0.1428571428571459,0.14285714285714235,0.0,0.0
2022-07-14,13.571428571428571,26.285714285714285,14.714285714285714,1.0,0.0,11.114285714285714,-0.2857142857142865,-0.14285714285714235,0.14285714285714235,0.0,0.0
2022-07-15,13.285714285714286,26.142857142857142,14.857142857142858,1.0,0.0,11.057142857142859,-0.2857142857142847,-0.14285714285714235,0.14285714285714413,0.0,0.0
2022-07-16,13.0,26.0,15.0,1.0,0.0,11.0,-0.2857142857142865,-0.14285714285714235,0.14285714285714235,0.0,0.0
2022-07-17,12.857142857142858,26.0,15.0,1.1428571428571428,0.0,11.000000000000002,-0.14285714285714235,0.0,0.0,0.1428571428571428,0.0
2022-07-18,12.714285714285714,26.0,15.0,1.2857142857142858,0.0,11.0,-0.14285714285714413,0.0,0.0,0.14285714285714302,0.0
2022-07-19,12.571428571428571,26.0,15.0,1.4285714285714286,0.0,11.0,-0.14285714285714235,0.0,0.0,0.1428571428571428,0.0
2022-07-20,12.428571428571429,26.0,15.0,1.5714285714285714,0.0,11.0,-0.14285714285714235,0.0,0.0,0.1428571428571428,0.0
2022-07-21,12.285714285714286,26.0,15.0,1.7142857142857142,0.0,11.0,-0.14285714285714235,0.0,0.0,0.1428571428571428,0.0
2022-07-22,12.142857142857142,26.0,15.0,1.8571428571428572,0.0,10.999999999999998,-0.14285714285714413,0.0,0.0,0.14285714285714302,0.0
2022-07-23,12.0,26.0,15.0,2.0,0.0,11.0,-0.14285714285714235,0.0,0.0,0.1428571428571428,0.0
2022-07-24,11.714285714285714,25.857142857142858,15.0,1.8571428571428572,0.0,10.885714285714284,-0.2857142857142865,-0.14285714285714235,0.0,-0.1428571428571428,0.0
2022-07-25,11.428571428571429,25.714285714285715,15.0,1.7142857142857142,0.0,10.771428571428572,-0.2857142857142847,-0.14285714285714235,0.0,-0.14285714285714302,0.0
2022-07-26,11.142857142857142,25.571428571428573,15.0,1.5714285714285714,0.0,10.657142857142857,-0.2857142857142865,-0.14285714285714235,0.0,-0.1428571428571428,0.0
2022-07-27,10.857142857142858,25.428571428571427,15.0,1.4285714285714286,0.0,10.542857142857143,-0.2857142857142847,-0.1428571428571459,0.0,-0.1428571428571428,0.0
2022-07-28,10.571428571428571,25.285714285714285,15.0,1.2857142857142858,0.0,10.428571428571427,-0.2857142857142865,-0.14285714285714235,0.0,-0.1428571428571428,0.0
2022-07-29,10.285714285714286,25.142857142857142,15.0,1.1428571428571428,0.0,10.314285714285715,-0.2857142857142847,-0.14285714285714235,0.0,-0.14285714285714302,0.0
2022-07-30,10.0,25.0,15.0,1.0,0.0,10.2,-0.2857142857142865,-0.14285714285714235,0.0,-0.1428571428571428,0.0
2022-07-31,10.285714285714286,25.142857142857142,15.142857142857142,1.0,0.0,10.314285714285713,0.2857142857142865,0.14285714285714235,0.14285714285714235,0.0,0.0
2022-08-01,10.571428571428571,25.285714285714285,15.285714285714286,1.0,0.0,10.428571428571427,0.2857142857142847,0.14285714285714235,0.14285714285714413,0.0,0.0
2022-08-02,10.857142857142858,25.428571428571427,15.428571428571429,1.0,0.0,10.542857142857143,0.2857142857142865,0.14285714285714235,0.14285714285714235,0.0,0.0
2022-08-03,11.142857142857142,25.571428571428573,15.571428571428571,1.0,0.0,10.657142857142857,0.2857142857142847,0.1428571428571459,0.14285714285714235,0.0,0.0
2022-08-04,11.428571428571429,25.714285714285715,15.714285714285714,1.0,0.0,10.771428571428572,0.2857142857142865,0.14285714285714235,0.14285714285714235,0.0,0.0
2022-08-05,11.714285714285714,25.857142857142858,15.857142857142858,1.0,0.0,10.885714285714286,0.2857142857142847,0.14285714285714235,0.14285714285714413,0.0,0.0
2022-08-06,12.0,26.0,16.0,1.0,0.0,11.0,0.2857142857142865,0.14285714285714235,0.14285714285714235,0.0,0.0
2022-08-07,11.857142857142858,25.857142857142858,16.0,1.0,0.0,10.942857142857143,-0.14285714285714235,-0.14285714285714235,0.0,0.0,0.0
2022-08-08,11.714285714285714,25.714285714285715,16.0,1.0,0.0,10.885714285714286,-0.14285714285714413,-0.14285714285714235,0.0,0.0,0.0
2022-08-09,11.571428571428571,25.571428571428573,16.0,1.0,0.0,10.82857142857143,-0.14285714285714235,-0.14285714285714235,0.0,0.0,0.0
2022-08-10,11.428571428571429,25.428571428571427,16.0,1.0,0.0,10.77142857142857,-0.14285714285714235,-0.1428571428571459,0.0,0.0,0.0
2022-08-11,11.285714285714286,25.285714285714285,16.0,1.0,0.0,10.714285714285714,-0.14285714285714235,-0.14285714285714235,0.0,0.0,0.0
2022-08-12,11.142857142857142,25.142857142857142,16.0,1.0,0.0,10.657142857142857,-0.14285714285714413,-0.14285714285714235,0.0,0.0,0.0
2022-08-13,11.0,25.0,16.0,1.0,0.0,10.6,-0.14285714285714235,-0.14285714285714235,0.0,0.0,0.0
2022-08-14,10.857142857142858,25.0,16.0,1.0,0.0,10.571428571428573,-0.14285714285714235,0.0,0.0,0.0,0.0
2022-08-15,10.714285714285714,25.0,16.0,1.0,0.0,10.542857142857143,-0.14285714285714413,0.0,0.0,0.0,0.0
2022-08-16,10.571428571428571,25.0,16.0,1.0,0.0,10.514285714285714,-0.14285714285714235,0.0,0.0,0.0,0.0
2022-08-17,10.428571428571429,25.0,16.0,1.0,0.0,10.485714285714286,-0.14285714285714235,0.0,0.0,0.0,0.0
2022-08-18,10.285714285714286,25.0,16.0,1.0,0.0,10.457142857142857,-0.14285714285714235,0.0,0.0,0.0,0.0
2022-08-19,10.142857142857142,25.0,16.0,1.0,0.0,10.428571428571427,-0.14285714285714413,0.0,0.0,0.0,0.0
2022-08-20,10.0,25.0,16.0,1.0,0.0,10.4,-0.14285714285714235,0.0,0.0,0.0,0.0
2022-08-21,10.0,24.857142857142858,16.0,1.0,0.0,10.371428571428572,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-22,10.0,24.714285714285715,16.0,1.0,0.0,10.342857142857143,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-23,10.0,24.571428571428573,16.0,1.0,0.0,10.314285714285713,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-24,10.0,24.428571428571427,16.0,1.0,0.0,10.285714285714286,0.0,-0.1428571428571459,0.0,0.0,0.0
2022-08-25,10.0,24.285714285714285,16.0,1.0,0.0,10.257142857142856,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-26,10.0,24.142857142857142,16.0,1.0,0.0,10.228571428571428,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-27,10.0,24.0,16.0,1.0,0.0,10.2,0.0,-0.14285714285714235,0.0,0.0,0.0
2022-08-28,10.0,24.142857142857142,16.0,1.0,0.0,10.228571428571428,0.0,0.14285714285714235,0.0,0.0,0.0
2022-08-29,10.0,24.285714285714285,16.0,1.0,0.0,10.257142857142856,0.0,0.14285714285714235,0.0,0.0,0.0
2022-08-30,10.0,24.428571428571427,16.0,1.0,0.0,10.285714285714286,0.0,0.14285714285714235,0.0,0.0,0.0
2022-08-31,10.0,24.571428571428573,16.0,1.0,0.0,10.314285714285713,0.0,0.1428571428571459,0.0,0.0,0.0
2022-09-01,10.0,24.714285714285715,16.0,1.0,0.0,10.342857142857143,0.0,0.14285714285714235,0.0,0.0,0.0
2022-09-02,10.0,24.857142857142858,16.0,1.0,0.0,10.371428571428572,0.0,0.14285714285714235,0.0,0.0,0.0
2022-09-03,10.0,25.0,16.0,1.0,0.0,10.4,0.0,0.14285714285714235,0.0,0.0,0.0
2022-09-04,10.142857142857142,25.142857142857142,15.714285714285714,1.0,0.0,10.4,0.14285714285714235,0.14285714285714235,-0.2857142857142865,0.0,0.0
2022-09-05,10.285714285714286,25.285714285714285,15.428571428571429,1.0,0.0,10.4,0.14285714285714413,0.14285714285714235,-0.2857142857142847,0.0,0.0
2022-09-06,10.428571428571429,25.428571428571427,15.142857142857142,1.0,0.0,10.4,0.14285714285714235,0.14285714285714235,-0.2857142857142865,0.0,0.0
2022-09-07,10.571428571428571,25.571428571428573,14.857142857142858,1.0,0.0,10.4,0.14285714285714235,0.1428571428571459,-0.2857142857142847,0.0,0.0
